transcript ID,fold induction,family,location
NM_088857,217723,MAPK,mitochondria
NM_087654,717238,nuclear receptor,peroxisome
NM_064118,502074,TIMP,cytosol
NM_045008,868071,nuclear receptor,peroxisome
NM_087305,646769,TER,mitochondria
NM_083495,184108,FOS,peroxisome
NM_038375,215759,LIP,golgi
NM_023702,406317,TER,peroxisome
NM_078211,210365,nuclear receptor,nucleus
NM_035488,149519,FOS,ER
NM_000864,253518,KAR,ER
NM_061871,764433,LIP,peroxisome
NM_029613,511030,TNF,nucleus
NM_056915,62877,TER,cytosol
NM_047665,768783,TER,ER
NM_035111,767398,LIP,cytosol
NM_054531,495812,MAPK,peroxisome
NM_068238,673961,LIP,cytosol
NM_035580,335491,JUN,cytosol
NM_063608,729587,JUN,cytosol
NM_069655,804670,FOS,nucleus
NM_065250,853510,nuclear receptor,ER
NM_064499,728677,nuclear receptor,mitochondria
NM_038334,772899,TGF-B,nucleus
NM_012850,582646,LIP,cytosol
NM_032010,946273,JUN,cytosol
NM_073157,30184,KIN,peroxisome
NM_031806,932948,TNF,peroxisome
NM_010390,523014,TIMP,ER
NM_024094,940511,TGF-B,golgi
NM_089158,883340,KAR,ER
NM_037218,355508,TIMP,cytosol
NM_085555,659335,P53,ER
NM_014602,998462,nuclear receptor,cytosol
NM_094636,39827,FOS,mitochondria
NM_030262,449,TIMP,golgi
NM_013305,796481,KAR,golgi
NM_083832,967628,KIN,mitochondria
NM_035743,678918,TNF,ER
NM_008214,154539,FOS,nucleus
NM_042835,961178,MAPK,cytosol
NM_061072,731887,FOS,mitochondria
NM_068355,731186,nuclear receptor,nucleus
NM_014328,894719,LIP,ER
NM_073435,818747,KAR,nucleus
NM_008821,186735,KIN,mitochondria
NM_042415,238797,TGF-B,mitochondria
NM_050373,674498,FOS,golgi
NM_012380,112902,P53,peroxisome
NM_018155,230902,MAPK,peroxisome
NM_053022,682853,KAR,mitochondria
NM_067680,791276,P53,mitochondria
NM_010384,491084,TGF-B,cytosol
